directed_id,original_edge_id,nvdb_id,name,geometry,is_reverse
32,32,1851612,Rissneleden,"LINESTRING (17.942219687594697 59.378968756675576, 17.9420298540613 59.37897029105778, 17.941865847522546 59.3789757981798, 17.941711310794375 59.37898795658113, 17.941562369641716 59.37900493972972, 17.941414576955232 59.379022984078105, 17.941254340133774 59.379047203700054, 17.941108311668597 59.37907748251757, 17.940978451934388 59.37911022695787, 17.94085938556511 59.37914498323274, 17.940743638700997 59.379181875028365, 17.94064704933911 59.37921792125653, 17.940546481031223 59.37925865789178)",false
33,33,1851621,Rissneleden,"LINESTRING (17.94228520010942 59.37915749898667, 17.942053045454273 59.37917466234733, 17.94186768753498 59.379198182617124, 17.941513678442075 59.37925694930353)",false
34,34,1851622,Rissneleden,"LINESTRING (17.942219687594697 59.378968756675576, 17.942231094599848 59.37903554244146, 17.942252308669257 59.37909702090426, 17.94228520010942 59.37915749898667)",false
35,35,1851631,Rissneleden,"LINESTRING (17.942569412679557 59.378988314360406, 17.942538720978586 59.37898620441474, 17.942219687594697 59.378968756675576)",false
36,36,1851620,Rissneleden,"LINESTRING (17.94228520010942 59.37915749898667, 17.9423484255541 59.379234931622655, 17.942447175689136 59.37931727743657, 17.942580783816453 59.37941187484365, 17.942758157411543 59.37950689503075, 17.94291257497827 59.37956524086554, 17.94303224983292 59.37959498717471, 17.94312463208704 59.37960995678983, 17.94329518450595 59.37963481620125, 17.943510362911738 59.379622302218166, 17.943702652540264 59.37959665522213, 17.943951191074735 59.37955435405198, 17.944194213719403 59.379494151395576, 17.944489620452096 59.37942634928993, 17.944984436391426 59.379305797239105, 17.945923815355027 59.37903629544085)",false
37,37,1851630,Rissneleden,"LINESTRING (17.946334968393305 59.37829024647987, 17.946193444112744 59.378342507516855, 17.94604905010956 59.378400260687236, 17.94589319668999 59.378462540905126, 17.9457601509842 59.37852282291558, 17.945623597443777 59.37858672445869, 17.945464284765865 59.37866293845188, 17.945301485891264 59.37873429777719, 17.945146128508114 59.37879603568606, 17.944995341181006 59.378844892314824, 17.94485064748621 59.37888848020858, 17.94469615102281 59.37892869502117, 17.94454765867255 59.37896199872147, 17.944390193042782 59.37898809159969, 17.94424897563859 59.37900903688019, 17.94408186727374 59.379025480709096, 17.94389721166498 59.379042455343395, 17.94371778107711 59.379049013978715, 17.94353643130627 59.37904989172727, 17.943345099265414 59.379044102463496, 17.943157041199765 59.37903118513761, 17.942989303669307 59.37901824014801, 17.942755674930474 59.379001121202734, 17.942569412679557 59.378988314360406)",false
38,38,1603286,,"LINESTRING (17.945389401739508 59.38142291194202, 17.945290578378327 59.381487622930486, 17.94510252974432 59.381589043672065)",false
39,39,1603285,,"LINESTRING (17.94582662105723 59.38121778967458, 17.94546234420659 59.3813751487717, 17.945389401739508 59.38142291194202)",false
40,40,1841182,Gamla Enköpingsvägen,"LINESTRING (17.946639958397387 59.38169087214547, 17.947489828479252 59.381457412234546)",false
41,41,1841183,Gamla Enköpingsvägen,"LINESTRING (17.947489828479252 59.381457412234546, 17.947976146763143 59.381316463668036)",false
42,42,1279701,Gamla Enköpingsvägen,"LINESTRING (17.947976146763143 59.381316463668036, 17.948076369656818 59.3812859729352, 17.948341852880137 59.38121482218528, 17.948647352781528 59.38113560412852, 17.949147648629094 59.38101495743377, 17.94995724853522 59.380827761383784, 17.950473575002945 59.38071637956764, 17.950733312532474 59.380669390982646, 17.950818706844366 59.380656172015115)",false
43,43,1841184,Gamla Enköpingsvägen,"LINESTRING (17.950818706844366 59.380656172015115, 17.950955920860462 59.380634923883015, 17.95112484754169 59.38061300269522, 17.951441917677755 59.38056104866021)",false
44,44,1228754,Gamla Enköpingsvägen,"LINESTRING (17.951441917677755 59.38056104866021, 17.951449921024544 59.38087808608863, 17.951512469282264 59.3810835424198)",false
